query,intent
kenya election results today,news
breaking news nairobi,news
premier league scores this weekend,news
latest developments in the region,news
what happened in parliament yesterday,news
stock market close today,news
new product launch announcement,news
government budget news,news
africa cup of nations results,news
weather forecast tomorrow,news
latest technology headlines,news
political developments this week,news
sports results today,news
economic news this morning,news
current events,news
apple earnings report this quarter,news
federal reserve rate decision today,news
ukraine war update,news
who won the election,news
breaking news london,news
nba finals score last night,news
champions league result yesterday,news
earthquake news today,news
hurricane updates now,news
latest covid variant news,news
oil price news today,news
bitcoin price today,news
new iphone announcement,news
spacex launch today,news
nairobi stock exchange today,news
kenya shilling exchange rate today,news
who is the new president,news
latest supreme court ruling,news
parliament session results,news
world cup standings today,news
formula 1 race result,news
wimbledon scores today,news
new law passed this week,news
interest rate announcement,news
breaking financial news,news
flooding news nairobi today,news
cabinet reshuffle news,news
company bankruptcy announcement,news
merger acquisition news today,news
tech layoffs news,news
startup funding news this week,news
IPO news today,news
crypto regulation news,news
AI regulation news this week,news
climate summit outcome,news
G7 summit decisions,news
UN resolution result,news
nafta trade news,news
latest unemployment figures,news
inflation data this month,news
central bank decision today,news
latest poll results,news
referendum outcome,news
by-election result,news
county budget news,news
devolution news kenya,news
governor announcement today,news
senator statement today,news
court verdict today,news
police operation news nairobi,news
security situation updates,news
drought news east africa,news
locust invasion update,news
disease outbreak news,news
vaccine rollout news,news
hospital strike news,news
teachers strike update,news
public transport news nairobi,news
road closure news,news
flight cancellation news,news
airline news today,news
new restaurant opening,news
sports transfer news,news
player injury update,news
coach fired news,news
boxing match result,news
athletics world record broken,news
marathon results today,news
capital of france,factual
when was redis created,factual
speed of light,factual
population of nairobi,factual
who invented the telephone,factual
height of mount kenya,factual
what year did golang release,factual
distance nairobi to mombasa,factual
boiling point of water,factual
bytes in a megabyte,factual
official language of brazil,factual
age of the universe,factual
who is the president of kenya,factual
when did world war two end,factual
capital of japan,factual
what is the atomic number of gold,factual
how many days in a leap year,factual
who wrote hamlet,factual
what currency does germany use,factual
tallest mountain in africa,factual
how many continents are there,factual
what is the square root of 144,factual
who painted the mona lisa,factual
when was the internet invented,factual
what is the capital of australia,factual
how far is the moon from earth,factual
what language is spoken in egypt,factual
who founded microsoft,factual
when was linux created,factual
what is the melting point of iron,factual
how many bones in the human body,factual
what year was python released,factual
who is the CEO of google,factual
largest ocean on earth,factual
how many planets in the solar system,factual
what is the chemical symbol for water,factual
when did kenya gain independence,factual
who wrote the go programming language,factual
what is the capital of canada,factual
how long is the great wall of china,factual
what is the population of china,factual
highest paid footballer in the world,factual
